name,affiliation,departments,email,website,interests,title,year,venue
Gizem Karaali,"Mathematics & Statistics Department, Pomona College",Mathematics;Statistics,@pomona.edu,http://pages.pomona.edu/~gk014747,Representation Theory;Matching Theory;Quantitative Literacy;Mathematics for Social Justice,Inspiring Mathematical Experiences.,2015,"Journal of Humanistic Mathematics 5 (2), 2015"
Gizem Karaali,"Mathematics & Statistics Department, Pomona College",Mathematics;Statistics,@pomona.edu,http://pages.pomona.edu/~gk014747,Representation Theory;Matching Theory;Quantitative Literacy;Mathematics for Social Justice,Poem: A Mathematician's Villanelle,2015,"Math Horizons 22 (3), 23-23, 2015"
Gizem Karaali,"Mathematics & Statistics Department, Pomona College",Mathematics;Statistics,@pomona.edu,http://pages.pomona.edu/~gk014747,Representation Theory;Matching Theory;Quantitative Literacy;Mathematics for Social Justice,The Journal of Humanistic Mathematics,2015,
Gizem Karaali,"Mathematics & Statistics Department, Pomona College",Mathematics;Statistics,@pomona.edu,http://pages.pomona.edu/~gk014747,Representation Theory;Matching Theory;Quantitative Literacy;Mathematics for Social Justice,"Extended Book Review: Really Big Numbers, by Richard Evan Schwartz; The Boy Who Loved Math: The Improbable Life of Paul Erdös, by Deborah Heiligman; The Short Seller, by Elissa …",2015,
Gizem Karaali,"Mathematics & Statistics Department, Pomona College",Mathematics;Statistics,@pomona.edu,http://pages.pomona.edu/~gk014747,Representation Theory;Matching Theory;Quantitative Literacy;Mathematics for Social Justice,Summer Cleaning:(Digital) Organizing Basics for Mathematicians,2015,
Gizem Karaali,"Mathematics & Statistics Department, Pomona College",Mathematics;Statistics,@pomona.edu,http://pages.pomona.edu/~gk014747,Representation Theory;Matching Theory;Quantitative Literacy;Mathematics for Social Justice,The classical Hom-Yang-Baxter equation and Hom-Lie bialgebras,2015,
Gizem Karaali,"Mathematics & Statistics Department, Pomona College",Mathematics;Statistics,@pomona.edu,http://pages.pomona.edu/~gk014747,Representation Theory;Matching Theory;Quantitative Literacy;Mathematics for Social Justice,"Book Review: Experiencing Mathematics: What do we do, when we do mathematics?",2015,
Gizem Karaali,"Mathematics & Statistics Department, Pomona College",Mathematics;Statistics,@pomona.edu,http://pages.pomona.edu/~gk014747,Representation Theory;Matching Theory;Quantitative Literacy;Mathematics for Social Justice,Mathematical Perspectives.,2014,"Journal of Humanistic Mathematics 4 (2), 2014"
Gizem Karaali,"Mathematics & Statistics Department, Pomona College",Mathematics;Statistics,@pomona.edu,http://pages.pomona.edu/~gk014747,Representation Theory;Matching Theory;Quantitative Literacy;Mathematics for Social Justice,The Journal of Humanistic Mathematics,2014,
Gizem Karaali,"Mathematics & Statistics Department, Pomona College",Mathematics;Statistics,@pomona.edu,http://pages.pomona.edu/~gk014747,Representation Theory;Matching Theory;Quantitative Literacy;Mathematics for Social Justice,Turn! Turn! Turn!,2014,"Journal of Humanistic Mathematics 4 (1), 2014"
